timestamp,source,data
2014-01-25 18:59:28,Shimcache, C:\iDefense\MAP\dirwatch_ui.exe
2015-04-15 03:37:02,Shimcache, C:\iDefense\SysAnalyzer\proc_watch.exe
2015-04-15 03:37:02,Shimcache, C:\iDefense\MAP\proc_watch.exe
2015-04-19 20:57:54,Shimcache, C:\Windows\Temp\ultradefrag
2015-06-14 19:31:16,Shimcache, C:\Program Files\7
2015-07-26 23:45:16,Shimcache, C:\ProgramData\chocolatey\lib\regshot.flare\tools\Regshot
2015-10-15 05:51:18,Shimcache, C:\iDefense\SysAnalyzer\sniff_hit.exe
2015-10-15 05:51:18,Shimcache, C:\iDefense\MAP\sniff_hit.exe
2015-11-17 23:50:23,Shimcache, C:\ProgramData\chocolatey\lib\spystudio\tools\SpyStudio.exe
2016-01-15 05:40:30,Shimcache, C:\Program Files\NoVirusThanks\Kernel
2016-02-24 09:58:34,Shimcache, C:\iDefense\SysAnalyzer\dirwatch_ui.exe
2016-03-12 05:16:16,Shimcache, C:\Tools\cygwin\bin\find.exe
2016-03-30 03:35:02,Shimcache, C:\Program Files\Process Hacker 2\ProcessHacker.exe
2016-03-30 03:35:04,Shimcache, C:\Program Files\Process Hacker 2\peview.exe
2016-04-26 04:19:03,Shimcache, C:\Program Files\Puppet Labs\Puppet\bin\run_facter_interactive.bat
2016-04-26 04:19:03,Shimcache, C:\Program Files\Puppet Labs\Puppet\bin\run_puppet_interactive.bat
2016-04-26 04:43:58,Shimcache, C:\Program Files\Puppet Labs\Puppet\sys\ruby\bin\ruby.exe
2016-05-23 03:44:20,Shimcache, C:\iDefense\MAP\fakeDNS.exe
2016-08-26 23:47:04,Shimcache, C:\Tools\cygwin\bin\gzip.exe
2017-01-10 06:12:39,Shimcache, C:\iDefense\MAP\IDCDumpFix.exe
2017-01-28 03:13:56,Shimcache, C:\Tools\cygwin\bin\bash.exe
2017-01-28 03:13:56,Shimcache, C:\Tools\cygwin\bin\sh.exe
2017-02-04 03:40:48,Shimcache, C:\Tools\cygwin\bin\cat.exe
2017-02-04 03:40:48,Shimcache, C:\Tools\cygwin\bin\basename.exe
2017-02-04 03:40:49,Shimcache, C:\Tools\cygwin\bin\chmod.exe
2017-02-04 03:40:50,Shimcache, C:\Tools\cygwin\bin\cp.exe
2017-02-04 03:40:52,Shimcache, C:\Tools\cygwin\bin\dirname.exe
2017-02-04 03:40:52,Shimcache, C:\Tools\cygwin\bin\echo.exe
2017-02-04 03:40:53,Shimcache, C:\Tools\cygwin\bin\expr.exe
2017-02-04 03:40:55,Shimcache, C:\Tools\cygwin\bin\ls.exe
2017-02-04 03:40:55,Shimcache, C:\Tools\cygwin\bin\ln.exe
2017-02-04 03:40:56,Shimcache, C:\Tools\cygwin\bin\md5sum.exe
2017-02-04 03:40:56,Shimcache, C:\Tools\cygwin\bin\mkdir.exe
2017-02-04 03:40:57,Shimcache, C:\Tools\cygwin\bin\mv.exe
2017-02-04 03:41:00,Shimcache, C:\Tools\cygwin\bin\rm.exe
2017-02-04 03:41:02,Shimcache, C:\Tools\cygwin\bin\sort.exe
2017-02-04 03:41:04,Shimcache, C:\Tools\cygwin\bin\test.exe
2017-02-04 03:41:05,Shimcache, C:\Tools\cygwin\bin\tr.exe
2017-02-04 03:41:05,Shimcache, C:\Tools\cygwin\bin\touch.exe
2017-02-04 03:41:06,Shimcache, C:\Tools\cygwin\bin\uname.exe
2017-02-12 00:45:10,Shimcache, C:\Tools\cygwin\bin\sed.exe
2017-02-15 00:05:53,Shimcache, C:\Tools\cygwin\bin\grep.exe
2017-02-17 21:47:57,Shimcache, C:\Tools\cygwin\bin\dash.exe
2017-05-20 16:55:22,Shimcache, C:\Tools\HTTrack\httrack\WinHTTrack.exe
2017-09-15 00:33:00,Shimcache, C:\PDFStreamDumper\PDFStreamDumper.exe
2018-03-13 23:16:55,Shimcache, C:\Program Files\Npcap\NPFInstall.exe
2018-03-15 12:00:33,Shimcache, C:\Program Files (x86)\Nmap\npcap
2018-03-22 17:04:37,Shimcache, C:\Program Files\VMware\VMware Tools\TPVCGateway.exe
2018-03-22 17:04:41,Shimcache, C:\Program Files\VMware\VMware Tools\TPAutoConnect.exe
2018-03-22 17:04:41,Shimcache, C:\Program Files\VMware\VMware Tools\TPAutoConnSvc.exe
2018-03-22 17:56:30,Shimcache, C:\Program Files\VMware\VMware Tools\vmacthlp.exe
2018-03-22 18:00:36,Shimcache, C:\Program Files\VMware\VMware Tools\guestproxycerttool.exe
2018-03-22 18:11:19,Shimcache, C:\Windows\Temp\VMWare\setup.exe
2018-03-22 18:11:19,Shimcache, C:\Windows\Temp\VMWare\setup64.exe
2018-05-19 00:27:08,Shimcache, C:\Program Files (x86)\Vim\vim81\vim.exe
2018-05-19 00:27:10,Shimcache, C:\Users\IEUser\AppData\Local\ChocoCache\install.exe
2018-05-19 00:27:10,Shimcache, C:\Program Files (x86)\Vim\vim81\install.exe
2018-05-19 00:36:20,Shimcache, C:\Program Files (x86)\Vim\vim81\gvim.exe
2018-05-29 03:28:46,Shimcache, C:\iDefense\SysAnalyzer\api_logger.exe
2018-08-18 02:32:42,Shimcache, C:\ProgramData\chocolatey\lib\ppee.fireeye\tools\PPEE\PPEE(puppy) 1.12\PPEE.exe
2018-08-28 19:05:06,Shimcache, C:\Tools\procdot\win64\procdot.exe
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\E61C7177
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\CEFB0A89
2018-09-15 14:09:27,Shimcache, C:\Windows\TEMP\69A3F79D
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\E95AC2D5
2018-09-15 14:09:27,Shimcache, C:\Windows\servicing\TrustedInstaller.exe
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\835E82DA
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\A979FFDA
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\D5ED0AC3
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\232D189E
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\ChocoCache\1F9657E1
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\ChocoCache\80BE6305
2018-09-15 14:09:27,Shimcache, C:\Users\IEUser\AppData\Local\Temp\852DE2B4
2018-09-15 14:09:30,Shimcache, C:\Windows\winsxs\amd64_microsoft
2018-09-15 14:09:30,Shimcache, C:\Windows\winsxs\amd64_microsoft
2018-09-15 15:28:23,Shimcache, C:\Windows\system32\MDMAgent.exe
2018-09-15 15:28:24,Shimcache, C:\Windows\system32\control.exe
2018-09-15 15:28:24,Shimcache, C:\Windows\System32\spoolsv.exe
2018-09-15 15:28:25,Shimcache, C:\Windows\system32\wbem\mofcomp.exe
2018-09-15 15:28:25,Shimcache, \\?\C:\Windows\system32\wbem\WMIADAP.EXE
2018-09-15 15:28:25,Shimcache, C:\Windows\system32\dmclient.exe
2018-09-15 15:28:25,Shimcache, C:\Windows\system32\wbem\WmiApSrv.exe
2018-09-15 15:28:26,Shimcache, C:\Program Files\Windows Defender\MsMpEng.exe
2018-09-15 15:28:26,Shimcache, C:\Windows\System32\Wbem\WMIC.exe
2018-09-15 15:28:26,Shimcache, C:\Program Files\Windows Defender\NisSrv.exe
2018-09-15 15:28:26,Shimcache, C:\Program Files\Windows Defender\MpCmdRun.exe
2018-09-15 15:28:29,Shimcache, C:\Windows\system32\wbem\wmiprvse.exe
2018-09-15 15:28:29,Shimcache, C:\Windows\System32\RuntimeBroker.exe
2018-09-15 15:28:29,Shimcache, C:\Windows\system32\ByteCodeGenerator.exe
2018-09-15 15:28:30,Shimcache, C:\Windows\system32\AppHostRegistrationVerifier.exe
2018-09-15 15:28:30,Shimcache, C:\Windows\system32\dstokenclean.exe
2018-09-15 15:28:32,Shimcache, C:\Windows\system32\Windows.WARP.JITService.exe
2018-09-15 15:28:32,Shimcache, C:\Windows\system32\dxgiadaptercache.exe
2018-09-15 15:28:34,Shimcache, C:\Windows\System32\Upfc.exe
