CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-09-15 06:24:40.8537873,C:\Windows\prefetch\VCREDIST_X64.EXE-41DC5B26.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-41DC5B26.pf,10317,9081C0B9739C98B0712C1DB242339C93D0D15E8C,False,2020-09-22 11:44:23.1835219,2020-09-22 11:44:23.1835219,2021-09-15 06:18:47.5281742,00:00:00
2021-09-15 06:24:40.8694827,C:\Windows\prefetch\VCREDIST_X64.EXE-88B32E3F.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-88B32E3F.pf,8060,6E5D8D1CE79F070C6EDDEB0F8AF0D6660E144F26,False,2019-07-23 23:36:15.8763874,2020-09-22 11:51:47.4241921,2021-09-15 06:18:47.5281742,00:00:00
2021-09-15 06:24:40.8845340,C:\Windows\prefetch\VCREDIST_X64.EXE-A385030D.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-A385030D.pf,10960,A1CF358DB400D8BC207D720766F8F2035C8840AE,False,2019-07-23 23:36:14.1574711,2019-07-23 23:36:15.8763874,2021-09-15 06:18:47.5476868,00:00:00
2021-09-15 06:24:40.9002250,C:\Windows\prefetch\VCREDIST_X64.EXE-AD3365CD.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-AD3365CD.pf,14632,100E1D8652C74C15B7C4BA4C5D8C01F2FC34502E,False,2020-09-22 10:42:03.2587468,2020-09-22 10:42:03.2587468,2021-09-15 06:18:47.6067136,00:00:00
2021-09-15 06:24:40.9324389,C:\Windows\prefetch\VCREDIST_X64.EXE-B9590D47.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-B9590D47.pf,10816,3C7870C337A80981E06B0031C4423842D3C0B6CA,False,2019-07-23 22:03:58.1952065,2019-07-23 22:03:58.1952065,2021-09-15 06:18:47.6536233,00:00:00
2021-09-15 06:24:40.9621955,C:\Windows\prefetch\VCREDIST_X64.EXE-D6AB45DB.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-D6AB45DB.pf,15513,2F86429302A4CACC8B4DB0EFC2B6F0961CBF8C8F,False,2020-09-22 11:51:47.7478672,2020-09-22 11:51:47.7478672,2021-09-15 06:18:47.6843684,00:00:00
2021-09-15 06:24:41.0873648,C:\Windows\prefetch\VCREDIST_X64.EXE-EE53F8E2.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-EE53F8E2.pf,12564,A70DD9B01E6CC819563ED91D76993E01385A361B,False,2019-07-23 22:55:19.8542628,2019-07-23 22:55:19.8542628,2021-09-15 06:18:47.8562420,00:00:00.0781932
2021-09-15 06:24:41.3058218,C:\Windows\prefetch\VCREDIST_X64.EXE-F881196B.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-F881196B.pf,9199,862A1842C9933703FD514DC45699DB304651ACE0,False,2019-07-23 22:05:44.2227609,2019-07-23 22:05:44.4138742,2021-09-15 06:18:48.0437942,00:00:00
2021-09-15 06:24:41.3532779,C:\Windows\prefetch\VCREDIST_X64.EXE-F8B13B8D.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X64.EXE-F8B13B8D.pf,13642,6ED2D5DCD3066BC78CBE91E021D239D039B54A81,False,2019-07-23 22:05:05.9606943,2019-07-23 22:05:05.9606943,2021-09-15 06:18:48.4190608,00:00:00
2021-09-15 06:24:41.3532779,C:\Windows\prefetch\VCREDIST_X86.EXE-1E818D20.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X86.EXE-1E818D20.pf,19861,FD79FEFCB71FCEEB085E0713CD261B280779B7B8,False,2019-07-23 22:06:52.8355728,2019-07-23 22:06:52.8355728,2021-09-15 06:18:48.4816472,00:00:00
2021-09-15 06:24:41.3683861,C:\Windows\prefetch\VCREDIST_X86.EXE-336CB2AA.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X86.EXE-336CB2AA.pf,9659,1C0E2721CA5DA16926A6D7C8D323479B32051D21,False,2020-09-22 11:44:51.9907468,2020-09-22 11:44:51.9907468,2021-09-15 06:18:48.5437413,00:00:00
2021-09-15 06:24:41.3840577,C:\Windows\prefetch\VCREDIST_X86.EXE-AAE964CB.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X86.EXE-AAE964CB.pf,10044,8EEDA081FC28E18F8B35BA037E58DBFF46164515,False,2019-07-23 22:04:15.6482113,2019-07-23 22:04:15.6482113,2021-09-15 06:18:48.7319061,00:00:00
2021-09-15 06:24:41.4155632,C:\Windows\prefetch\VCREDIST_X86.EXE-EA1170EF.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X86.EXE-EA1170EF.pf,19561,9032386D1DF510674D8B14A046D207E840B51D29,False,2019-07-23 22:06:13.4761287,2019-07-23 22:06:13.4761287,2021-09-15 06:18:48.8414183,00:00:00.0158959
2021-09-15 06:24:41.4465996,C:\Windows\prefetch\VCREDIST_X86.EXE-EA419311.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCREDIST_X86.EXE-EA419311.pf,13191,AB0E65FD2D1C90EC9DCC053DC0071CE36CD37024,False,2019-07-23 22:04:56.5232355,2019-07-23 22:04:56.5232355,2021-09-15 06:18:48.8878744,00:00:00
2021-09-15 06:24:41.5560831,C:\Windows\prefetch\VCTIP.EXE-9B1669C3.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VCTIP.EXE-9B1669C3.pf,8361,2A43BA6072171BA4430AE1CC5C88A3A90E375F74,False,2019-07-23 22:44:37.0566866,2020-09-22 10:27:35.1833999,2021-09-15 06:18:48.9816954,00:00:00.0933354
2021-09-15 06:24:41.6186518,C:\Windows\prefetch\VC_REDIST.X64.14.26.EXE-26CF2AD0.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.14.26.EXE-26CF2AD0.pf,6970,41D4BE8EAC602713F89495D53F876A74A2CC3C89,False,2020-09-22 10:44:02.5415261,2020-09-22 10:44:02.5415261,2021-09-15 06:18:49.0437802,00:00:00
2021-09-15 06:24:41.6651291,C:\Windows\prefetch\VC_REDIST.X64.14.26.EXE-B7109023.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.14.26.EXE-B7109023.pf,16611,C9879CD994AF4D443E429EC407716A7C07A6E662,False,2020-09-22 10:44:05.9634086,2020-09-22 10:44:05.9634086,2021-09-15 06:18:49.4661074,00:00:00
2021-09-15 06:24:41.7120486,C:\Windows\prefetch\VC_REDIST.X64.EXE-0FBC135E.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.EXE-0FBC135E.pf,15120,32094B1CDAF7F21D2074BE097791F9F8AC74E0A4,False,2020-09-22 11:52:05.8791301,2020-09-22 11:52:06.4564469,2021-09-15 06:18:49.5282016,00:00:00
2021-09-15 06:24:41.9153970,C:\Windows\prefetch\VC_REDIST.X64.EXE-45F1E6CE.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.EXE-45F1E6CE.pf,10187,70E41036E997F79097438642DBBB02FC4EF4362E,False,2020-09-22 10:44:14.5581237,2020-09-22 10:44:14.5581237,2021-09-15 06:18:49.6220720,00:00:00
2021-09-15 06:24:41.9933264,C:\Windows\prefetch\VC_REDIST.X64.EXE-479BE38D.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.EXE-479BE38D.pf,13043,574C1CDD20114D8C57F5EDA032C0B0F5BC51887A,False,2020-09-22 11:51:57.9980560,2020-09-22 11:51:57.9980560,2021-09-15 06:18:49.6533735,00:00:00
2021-09-15 06:24:42.0405795,C:\Windows\prefetch\VC_REDIST.X64.EXE-74039E42.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.EXE-74039E42.pf,16072,8A4BC2832EBC94919ABE96788CBF83C872465249,False,2020-09-22 10:44:36.1452646,2020-09-22 10:44:36.5050234,2021-09-15 06:18:49.7000459,00:00:00
2021-09-15 06:24:42.0718546,C:\Windows\prefetch\VC_REDIST.X64.EXE-A88CC892.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.EXE-A88CC892.pf,6885,54F28A2A6671C249A3154D55CC4CE4AB2F983EFA,False,2019-07-23 22:14:18.5699610,2019-07-23 22:14:18.5699610,2021-09-15 06:18:49.7000459,00:00:00
2021-09-15 06:24:42.0874915,C:\Windows\prefetch\VC_REDIST.X64.EXE-B77F4CC4.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\VC_REDIST.X64.EXE-B77F4CC4.pf,12448,834A1AF420EA275B1CDBD18E523EDBD3BBD39DF1,False,2019-07-23 22:14:18.5543398,2019-07-23 22:14:18.5543398,2021-09-15 06:18:49.7322714,00:00:00
